OBJECTID,x_coord,y_coord,windspeed spring baseline lower,windspeed spring baseline median,windspeed spring baseline upper,windspeed spring 2.0 lower,windspeed spring 2.0 median,windspeed spring 2.0 upper,windspeed spring 4.0 lower,windspeed spring 4.0 median,windspeed spring 4.0 upper,windspeed summer baseline lower,windspeed summer baseline median,windspeed summer baseline upper,windspeed summer 2.0 lower,windspeed summer 2.0 median,windspeed summer 2.0 upper,windspeed summer 4.0 lower,windspeed summer 4.0 median,windspeed summer 4.0 upper,windspeed autumn baseline lower,windspeed autumn baseline median,windspeed autumn baseline upper,windspeed autumn 2.0 lower,windspeed autumn 2.0 median,windspeed autumn 2.0 upper,windspeed autumn 4.0 lower,windspeed autumn 4.0 median,windspeed autumn 4.0 upper,windspeed winter baseline lower,windspeed winter baseline median,windspeed winter baseline upper,windspeed winter 2.0 lower,windspeed winter 2.0 median,windspeed winter 2.0 upper,windspeed winter 4.0 lower,windspeed winter 4.0 median,windspeed winter 4.0 upper,Shape__Area,Shape__Length
256,82500,552500,5.01041,5.259851,5.4982057,4.988393,5.1582823,5.338379,4.9156737,5.153178,5.3752656,4.476831,4.620808,4.7210207,4.255282,4.3956556,4.508798,4.1853876,4.367362,4.533958,5.0138507,5.157386,5.267132,4.820359,5.00299,5.0777884,4.8168244,5.037774,5.0690613,5.666198,5.899106,6.102298,5.474309,5.795787,5.9139934,5.5745263,5.837522,6.0864725,74835892.1381836,34603.1209399304
257,82500,557500,5.1469617,5.3969316,5.610181,5.1033297,5.2481933,5.445626,5.008906,5.22897,5.45105,4.57142,4.7161474,4.812236,4.2981787,4.454484,4.553226,4.2182107,4.3949366,4.55393,5.2144446,5.3612065,5.4756866,4.963893,5.1661615,5.231323,4.9652157,5.195847,5.2254157,5.9024286,6.108676,6.3084345,5.671662,5.9487996,6.090695,5.7569933,5.9850025,6.2714624,75001061.4458008,34641.2858514379
258,82500,562500,5.0431614,5.2885385,5.526817,5.0441713,5.1471915,5.4236503,4.8723435,5.130208,5.422399,4.344638,4.5396833,4.601156,4.0926914,4.224374,4.3515167,3.9529834,4.1269064,4.283818,5.324636,5.416547,5.5815125,5.1046286,5.2620473,5.310647,5.173176,5.3276143,5.399014,6.081771,6.3620157,6.551326,5.894391,6.2105365,6.38683,5.9388175,6.241246,6.6279116,75166869.5078125,34679.5561127989
259,82500,567500,4.139001,4.3695574,4.667319,4.1439185,4.297208,4.549159,3.993335,4.254102,4.5410686,3.6030488,3.7658792,3.810939,3.3848996,3.5171154,3.645516,3.2054124,3.4209392,3.5908687,4.2474484,4.3110385,4.5349545,4.0908256,4.2056456,4.2406487,4.1388073,4.2868176,4.3423963,4.9134645,5.2011323,5.466571,4.7374983,5.1925116,5.3083277,4.797793,5.1400924,5.5149064,75333319.546875,34717.9321181629
260,82500,572500,4.1040273,4.306039,4.606589,4.0781236,4.21815,4.4406714,3.9526954,4.165939,4.415343,3.651598,3.7870407,3.8726933,3.4141517,3.5396774,3.6425748,3.265971,3.4638722,3.6494267,4.1469946,4.2141685,4.4217196,3.9520435,4.0492005,4.1168795,3.9362278,4.12868,4.1823006,4.7226343,4.9858894,5.2658534,4.5179043,4.886412,5.004061,4.5736475,4.881946,5.1952515,75500414.8056641,34756.4142637102
261,82500,577500,4.4404573,4.6601105,4.9526124,4.4271426,4.541259,4.7895513,4.288425,4.5062475,4.7757645,3.9040341,4.0499105,4.1381965,3.637569,3.7638612,3.8820279,3.4700286,3.6892967,3.8824306,4.637229,4.7192283,4.8950267,4.4497805,4.560039,4.60192,4.468025,4.610728,4.66739,5.308632,5.53316,5.8142323,5.1204267,5.4396586,5.583114,5.1524744,5.428008,5.7684283,75668158.5483398,34795.0029476137
262,82500,582500,4.129756,4.3643847,4.6722665,4.1382008,4.254536,4.4920835,3.9834056,4.2032332,4.482557,3.5984771,3.7363994,3.8281713,3.3156922,3.4531245,3.581667,3.1336894,3.3578942,3.5543475,4.278607,4.3678465,4.5319014,4.093242,4.212249,4.275823,4.082376,4.252614,4.29085,4.9447393,5.18524,5.42504,4.7521963,5.1276608,5.2382183,4.813646,5.102742,5.4263086,75836554.0576172,34833.6985700689
263,82500,587500,4.2589235,4.501102,4.81412,4.347741,4.492215,4.7298403,4.226863,4.453112,4.7177095,3.732729,3.8595726,3.9660084,3.464028,3.624534,3.777451,3.3234527,3.5356495,3.7245357,4.353961,4.4510922,4.6164384,4.196101,4.329581,4.471065,4.1515474,4.3662267,4.396804,4.997448,5.25724,5.4716406,4.8681035,5.257262,5.360917,4.9464054,5.243448,5.6116076,76005604.6411133,34872.5015333189
264,82500,592500,4.6809382,4.9138327,5.2588396,4.7949476,4.9466925,5.2247996,4.6797667,4.922835,5.2131214,4.0119762,4.1529675,4.2435956,3.7483933,3.9231408,4.092137,3.5665526,3.8060615,3.997998,4.927209,5.0159006,5.2174444,4.7585,4.9148707,5.0826354,4.744853,4.9400024,5.056363,5.6347504,5.94713,6.2042246,5.548457,6.021405,6.1257505,5.6451116,5.990924,6.4280596,76175313.6235352,34911.4122416502
265,82500,812500,5.640355,5.8081846,6.0935097,5.6591315,5.859683,6.0335417,5.5584426,5.756892,6.0448084,4.840356,4.960186,5.031373,4.676427,4.810716,4.9696646,4.565468,4.770948,4.872888,5.8917665,6.0204573,6.1279583,5.7260733,5.925091,6.0337133,5.834409,5.941867,6.0148444,6.5764184,6.883213,6.9301057,6.4947457,6.76813,6.9439,6.5130796,6.7417045,7.1813936,84323774.3535156,36731.2125331894
266,82500,817500,5.5980597,5.761725,6.0451145,5.6122823,5.8215656,5.986066,5.5121355,5.715642,6.0055246,4.8202353,4.9357924,5.01194,4.664224,4.788171,4.9499364,4.5515966,4.7515807,4.8552523,5.8140593,5.953645,6.0593367,5.6571126,5.8585706,5.962427,5.772704,5.8819575,5.951801,6.4863334,6.7941427,6.849374,6.409228,6.678707,6.8602347,6.4283347,6.6656103,7.1023803,84527416.2646484,36775.5387957431
267,82500,822500,5.360651,5.5154276,5.782918,5.362257,5.5680113,5.729682,5.2693515,5.488913,5.7612305,4.6660113,4.779022,4.8445473,4.5493364,4.6487565,4.8011312,4.44074,4.6215596,4.7326136,5.4893923,5.6466875,5.750993,5.3624816,5.559513,5.646292,5.4923315,5.593631,5.6507773,6.111665,6.4057045,6.4632883,6.0340643,6.2763624,6.4677987,6.032428,6.30476,6.7047844,84732982.3657227,36820.2300005583
268,82500,827500,5.4624906,5.6145935,5.8825455,5.4688826,5.6536317,5.819249,5.361002,5.5994782,5.84274,4.777527,4.875102,4.9396687,4.6422634,4.7500978,4.902167,4.5374556,4.7184134,4.8450937,5.5798903,5.7344165,5.823538,5.4527903,5.632212,5.723793,5.562875,5.663224,5.708457,6.2266154,6.4872313,6.5624666,6.130081,6.3438473,6.5552344,6.115386,6.406234,6.7911596,84938076.4448242,36864.7642640675
269,82500,832500,5.766431,5.9330473,6.200659,5.779151,5.978228,6.1686544,5.672126,5.9113774,6.200488,5.066258,5.192567,5.233406,4.9595995,5.05754,5.200448,4.839777,5.039178,5.181244,5.9913297,6.138501,6.242022,5.853085,6.0571485,6.165662,6.0027013,6.1117206,6.1668634,6.6285224,6.9103875,6.9752593,6.543868,6.755661,6.9881606,6.5312614,6.803946,7.191878,85143688.5263672,36909.3570236609
270,82500,837500,5.3128557,5.474686,5.767943,5.3140593,5.5253963,5.732721,5.2031803,5.445242,5.7684216,4.6522036,4.7682753,4.8355823,4.56478,4.6268797,4.7886853,4.4341106,4.6071377,4.726595,5.4220243,5.595019,5.7488585,5.29397,5.561032,5.638798,5.514778,5.6174574,5.700485,5.9876823,6.3457346,6.3902197,5.9390435,6.211276,6.406934,5.9455533,6.2467256,6.6289682,85350161.7207031,36954.0823824707
271,82500,842500,5.2237906,5.38262,5.6768074,5.231131,5.4375663,5.610819,5.129649,5.3617926,5.6513853,4.597594,4.7267265,4.771223,4.4893994,4.569475,4.7267084,4.365384,4.540544,4.6530886,5.2317963,5.4361143,5.588039,5.137658,5.3830585,5.443149,5.3062534,5.4360404,5.499875,5.8225327,6.1425233,6.247545,5.737396,6.0466924,6.2571034,5.775107,6.1130824,6.496379,85556378.8071289,36998.6980262539
272,82500,847500,5.446854,5.6198983,5.958336,5.4532194,5.704196,5.9087987,5.3668833,5.6246214,5.956903,4.815238,4.9541306,5.0025024,4.712311,4.776773,4.936961,4.559581,4.7450686,4.8667855,5.585157,5.813322,5.9758253,5.4889936,5.749187,5.8145123,5.673627,5.812989,5.9062166,6.2320433,6.576834,6.706137,6.148484,6.4857607,6.7194223,6.189224,6.6053724,7.001722,85765609.0888672,37043.9112148978
273,82500,852500,5.3078814,5.462804,5.792086,5.308859,5.549846,5.755,5.239272,5.48042,5.8031354,4.718912,4.85843,4.8962235,4.6239023,4.6896105,4.835071,4.473497,4.65919,4.77077,5.3857603,5.600114,5.7658834,5.3103085,5.557529,5.6363893,5.4916515,5.6231203,5.7198706,5.945742,6.3011065,6.453101,5.891305,6.2292204,6.4316726,5.929986,6.3563166,6.7127047,85975136.9179688,37089.133143655
274,82500,857500,5.8233423,5.988486,6.409121,5.811007,6.0927873,6.3644714,5.7634573,6.027953,6.4176927,5.1918774,5.3429503,5.3869247,5.081227,5.146671,5.2935543,4.9074774,5.1063833,5.2158246,6.052176,6.280386,6.4778214,5.9452305,6.2066836,6.3044715,6.153859,6.3018966,6.443007,6.6433854,7.039814,7.269165,6.595904,6.9928613,7.225805,6.635999,7.185893,7.5713296,86184884.9882813,37134.3475413566
275,82500,862500,5.4764624,5.6247244,6.011663,5.428775,5.707045,5.986134,5.3982396,5.6446877,6.030071,4.8614244,5.005105,5.0528107,4.7618685,4.8311987,4.96181,4.6082463,4.796273,4.9040613,5.6419168,5.8671227,6.069833,5.5491147,5.82086,5.913812,5.77746,5.9219522,6.046529,6.167675,6.589158,6.7820168,6.152959,6.5549383,6.753791,6.1990023,6.6997313,7.062082,86395374.2290039,37179.6663991663
276,82500,867500,5.365144,5.4816465,5.808052,5.324004,5.5655584,5.7803884,5.279459,5.497496,5.81777,4.746953,4.882222,4.915228,4.659079,4.7318673,4.845089,4.508707,4.700866,4.8064537,5.4081163,5.598262,5.794383,5.3377447,5.580019,5.674623,5.5271516,5.646449,5.7472696,5.876479,6.2611537,6.43822,5.864057,6.2127085,6.37523,5.9032226,6.292076,6.6276307,86606890.1533203,37225.1506321745
277,82500,872500,5.6026587,5.710239,6.023908,5.569,5.798169,5.9946494,5.504717,5.716967,6.0287704,4.910304,5.0437107,5.0863695,4.807294,4.879713,4.9986515,4.6382113,4.8332,4.945204,5.6593385,5.811764,6.0159774,5.5645404,5.808165,5.920813,5.7360888,5.852849,5.9572716,6.13214,6.509343,6.7088127,6.102994,6.4290977,6.5834007,6.130601,6.4817467,6.8231173,86819840.7275391,37270.8873535704
278,87500,487500,3.8132577,4.0287786,4.1909432,3.6825535,3.801864,3.9373677,3.6288667,3.799062,3.9682503,3.3478093,3.4548385,3.5371232,3.0476427,3.1389427,3.2397697,2.9841254,3.093185,3.2073274,3.7598033,3.8566341,3.9517486,3.4501903,3.5866885,3.6680324,3.448466,3.6107147,3.6747556,4.278136,4.4773417,4.645463,3.9852371,4.286129,4.362887,4.102626,4.27472,4.5341787,72761759.1113281,34120.2268387137
279,87500,492500,3.7634015,3.9701371,4.157903,3.6298492,3.7537296,3.9086277,3.5692813,3.755979,3.9351306,3.2671566,3.3873925,3.4622836,2.9780362,3.0573227,3.1820803,2.8978646,3.0150452,3.1224453,3.741806,3.8079076,3.9386857,3.3931763,3.5586658,3.6226192,3.4321923,3.6103668,3.6784692,4.245182,4.4782085,4.6481867,3.9528015,4.293788,4.399815,4.095289,4.27807,4.5740767,72918979.7021484,34157.0696432339
280,87500,497500,3.8060212,4.0276065,4.2287726,3.7178142,3.8683293,4.0468035,3.6598535,3.867942,4.0589476,3.3202884,3.448143,3.5260634,3.0642583,3.1646008,3.287906,2.9827476,3.0977912,3.2297626,3.7889657,3.8533196,4.007266,3.4755833,3.6522746,3.7370842,3.5439446,3.729795,3.7986264,4.302247,4.573267,4.779218,4.0561247,4.467429,4.559924,4.22935,4.442836,4.772685,73076799.3710938,34194.0129108533
281,87500,502500,3.843383,4.076036,4.2702913,3.8437524,4.015903,4.167079,3.782571,4.005374,4.195609,3.3742003,3.5038936,3.580597,3.1735892,3.293631,3.4123464,3.1030295,3.2146473,3.3645434,3.7905624,3.8721833,4.023937,3.57025,3.7428265,3.855676,3.6269238,3.8340657,3.8940392,4.316833,4.5946264,4.808496,4.148954,4.5938883,4.6740313,4.333812,4.5705395,4.91302,73235221.0893555,34231.0570112241
282,87500,507500,3.7940743,4.033952,4.226955,3.7536964,3.9248905,4.0528064,3.6862495,3.9082265,4.075458,3.3499618,3.477974,3.5486743,3.1106267,3.2283015,3.3454146,3.0347583,3.1567495,3.31527,3.6962578,3.801643,3.936765,3.462122,3.6278687,3.707024,3.4919448,3.687242,3.743854,4.2319307,4.48492,4.688343,3.99966,4.4112115,4.4776907,4.1721134,4.4092007,4.6911173,73394247.8525391,34268.2023158494
283,87500,512500,3.7672017,4.0016637,4.201028,3.653791,3.8179238,3.9423935,3.5936215,3.8002465,3.9578304,3.348018,3.478539,3.532402,3.05866,3.1601484,3.2828345,2.9805818,3.0998747,3.263588,3.6991744,3.7962193,3.9361959,3.4234214,3.561615,3.632051,3.4313025,3.6094177,3.6691716,4.2430487,4.4646907,4.6706285,3.9513428,4.3119707,4.374588,4.087805,4.31036,4.5430083,73553882.6679688,34305.4491980909
284,87500,517500,3.6431336,3.8768895,4.0758104,3.5656872,3.7224565,3.8597455,3.5026937,3.7056816,3.873176,3.2386627,3.361145,3.414428,2.9712198,3.0800767,3.1991928,2.8929787,3.0185761,3.1848252,3.589706,3.6841176,3.8274856,3.3404427,3.4738052,3.5577703,3.358623,3.5253437,3.586266,4.119081,4.3489714,4.553973,3.8742537,4.2292924,4.292205,4.0009327,4.2331386,4.460187,73714128.5673828,34342.7980331784
285,87500,522500,3.6115766,3.8440685,4.038533,3.548468,3.7007198,3.8415952,3.4867063,3.684209,3.8448472,3.203466,3.3255935,3.3718534,2.95503,3.0642123,3.1777687,2.8726265,3.0001729,3.1630108,3.5327678,3.6360004,3.7836576,3.30517,3.4334035,3.511816,3.309002,3.4756598,3.533549,4.0749793,4.302003,4.5035243,3.8477268,4.1942434,4.2530646,3.9709911,4.2080016,4.427546,73874988.5991211,34380.2491982356
286,87500,527500,3.670136,3.9261863,4.1242533,3.6192772,3.7745929,3.9201648,3.5449479,3.752119,3.9230893,3.2693858,3.3923573,3.4483345,3.0174274,3.1352246,3.2556236,2.9307296,3.0711322,3.2364647,3.61692,3.7316902,3.8725677,3.3869195,3.5152574,3.590963,3.3849945,3.5573902,3.6212966,4.1780276,4.438859,4.636408,3.9619172,4.308196,4.3546176,4.0731626,4.3262477,4.5329537,74036465.8295898,34417.8030722589
287,87500,532500,3.935517,4.210462,4.4336367,3.889169,4.057739,4.21086,3.8033981,4.0346465,4.2231517,3.5183575,3.656936,3.7145476,3.2554612,3.3938508,3.5167966,3.1690128,3.331761,3.5094826,3.884359,4.0151653,4.1544333,3.659409,3.793686,3.8667057,3.6409678,3.84328,3.8959966,4.4823647,4.7600465,4.9677253,4.2571692,4.6042576,4.6619797,4.3509927,4.644522,4.8553925,74198563.3481445,34455.4600361694
288,87500,537500,4.0844507,4.361762,4.5999203,4.0975814,4.2730646,4.424449,3.9991593,4.24674,4.454609,3.6688404,3.8188157,3.8791714,3.4530616,3.601005,3.7327354,3.3723679,3.5546181,3.7390473,4.0136924,4.1533957,4.2860255,3.8465946,4.000965,4.052135,3.8218143,4.045779,4.0935683,4.6049433,4.8900504,5.088166,4.429459,4.786989,4.857795,4.526418,4.8555536,5.0708117,74361284.2587891,34493.2204727829
289,87500,542500,4.3971586,4.6546373,4.8772516,4.4122033,4.566613,4.7310677,4.327374,4.5575986,4.762357,3.9459407,4.086316,4.1562834,3.736462,3.8998532,4.0040894,3.6906655,3.86055,4.02051,4.300886,4.4352756,4.5445623,4.13617,4.3009515,4.349345,4.1222677,4.327744,4.364654,4.87681,5.122089,5.3169794,4.69796,5.03306,5.13922,4.8063188,5.1102343,5.319102,74524631.6884766,34531.084766864
290,87500,547500,4.3588295,4.614264,4.85196,4.2644844,4.4487953,4.6215835,4.190543,4.413463,4.634446,3.8546815,4.0293517,4.07681,3.5645359,3.6880615,3.823056,3.441733,3.6331322,3.7790802,4.3611536,4.4711103,4.6237497,4.063363,4.2178383,4.321206,4.0816216,4.2978926,4.344917,4.942748,5.2244864,5.448256,4.6747575,5.0604463,5.1582184,4.8063374,5.09643,5.3793287,74688608.7836914,34569.0533051016
291,87500,552500,4.6152534,4.868192,5.165699,4.589409,4.7987843,4.99074,4.5055895,4.7479177,5.021525,4.178994,4.3416624,4.395476,3.9434555,4.0825276,4.22595,3.838728,4.0602336,4.2313232,4.6747823,4.7980356,5.006873,4.488063,4.622774,4.7299805,4.5054417,4.750695,4.7895155,5.3472524,5.683411,5.944528,5.1568456,5.5692453,5.662586,5.274835,5.6257825,5.9064236,74853218.7084961,34607.1264761604
292,87500,557500,4.9183793,5.1743307,5.4476385,4.8882375,5.030966,5.250586,4.7785063,5.002402,5.2602353,4.497606,4.6215754,4.726519,4.2302027,4.4241624,4.5127673,4.1674147,4.367803,4.5716715,5.0308642,5.161396,5.332067,4.823304,4.960933,5.050914,4.8357053,5.054583,5.093802,5.70611,6.007779,6.22662,5.489697,5.7974234,5.902789,5.5581274,5.866108,6.106702,75018464.6494141,34645.304670634
293,87500,562500,4.921937,5.1822953,5.405938,4.9284735,5.0119934,5.260587,4.767121,5.0066667,5.274419,4.35202,4.485874,4.6016073,4.084983,4.2342525,4.3498163,3.9640877,4.1485286,4.348137,5.167308,5.273362,5.393275,4.9390206,5.0894604,5.136804,4.966065,5.1515718,5.211013,5.8563857,6.0814943,6.290128,5.6677494,5.946485,6.084333,5.705057,5.9602237,6.271799,75184349.8105469,34683.5882811301
294,87500,567500,4.271002,4.5216374,4.733096,4.30123,4.3745055,4.605011,4.1090345,4.3463945,4.610063,3.6606865,3.8021457,3.897604,3.4149513,3.5461032,3.6730359,3.2720234,3.4583862,3.6338851,4.3927264,4.4915705,4.5975194,4.171915,4.3258758,4.3619905,4.1694,4.3487554,4.3842487,5.050857,5.310415,5.4465513,4.8594074,5.163013,5.3054056,4.885203,5.1850486,5.472565,75350877.4189453,34721.9777022178
295,87500,572500,3.9154885,4.141515,4.3858504,3.94358,4.051032,4.238984,3.7770648,3.992569,4.2245626,3.3451457,3.481472,3.5590491,3.1043627,3.2384517,3.3600483,2.9747455,3.1543849,3.3111205,3.948494,4.0314527,4.1424546,3.7039495,3.8315282,3.883387,3.7017636,3.8762393,3.9008956,4.547058,4.773499,4.948384,4.346442,4.669836,4.795149,4.3742576,4.672919,4.961484,75518050.7211914,34760.4733304904
296,87500,577500,3.8824933,4.102351,4.350665,3.9216213,4.0310583,4.1931252,3.7693954,3.9557843,4.1801715,3.3639684,3.473948,3.5629468,3.105969,3.242725,3.3572361,2.9823537,3.161565,3.3446212,3.9258487,4.015564,4.1220126,3.7094104,3.830958,3.9080265,3.6892426,3.8496444,3.8871663,4.5129304,4.701446,4.8953724,4.327827,4.6222506,4.7297783,4.3574176,4.6308427,4.887947,75685872.9853516,34799.0755645429
297,87500,582500,3.792263,4.021945,4.2499576,3.8464026,3.9348922,4.0976596,3.7040966,3.8925195,4.105256,3.253078,3.3766487,3.4453788,2.9992414,3.1415772,3.2730012,2.8686123,3.0490384,3.2437584,3.82163,3.9221623,3.9936957,3.6094444,3.7519183,3.83059,3.5831497,3.7517486,3.7746835,4.3892155,4.5862384,4.7220526,4.240802,4.499934,4.6157246,4.2868767,4.5373983,4.7742524,75854347.4970703,34837.7848049885
298,87500,587500,4.2496953,4.4785204,4.626743,4.2893124,4.414932,4.56956,4.1998215,4.3933024,4.5481668,3.608281,3.7351232,3.791991,3.3955886,3.5603023,3.684431,3.2762399,3.4528031,3.6485047,4.163309,4.299924,4.3521376,3.9796684,4.1585174,4.2437487,3.9461238,4.109334,4.164077,4.7708893,4.938615,5.0519915,4.657586,4.8787155,5.0208287,4.706355,4.8672166,5.1413555,76023477.565918,34876.601454514
299,87500,592500,4.656165,4.8907204,5.1349454,4.7162743,4.8241215,5.0611753,4.612685,4.824415,5.0483446,3.879559,4.0435343,4.1071234,3.6554503,3.8109384,3.9656205,3.4923744,3.696221,3.8776507,4.86954,4.9743342,5.1003313,4.674298,4.83929,4.906947,4.6810784,4.845124,4.9371,5.5807877,5.8395224,5.980195,5.4801245,5.7991166,5.949399,5.5341697,5.798224,6.1146173,76193266.5224609,34915.5259178253
300,87500,597500,4.59327,4.821045,5.1292334,4.680717,4.8185854,5.0661383,4.552779,4.7918596,5.050063,3.8479621,4.0184307,4.091013,3.6312947,3.7895913,3.9398713,3.4416745,3.68463,3.8855457,4.787802,4.8589563,5.0880427,4.6290445,4.7920914,4.904111,4.6105204,4.808028,4.9222445,5.517456,5.778978,6.0522714,5.417425,5.894513,5.9779563,5.5292516,5.8083563,6.21143,76363717.7167969,34954.5586016989
301,87500,847500,5.462168,5.6222754,5.8891764,5.4434843,5.6570196,5.8251767,5.3400035,5.5671654,5.848015,4.72501,4.846812,4.9096317,4.592413,4.6880994,4.857101,4.4534936,4.639598,4.7598805,5.57875,5.732087,5.86702,5.42188,5.6541834,5.75381,5.569795,5.6948066,5.7830787,6.2230444,6.544628,6.6018324,6.1144776,6.399379,6.637278,6.1303263,6.427283,6.8439665,85788702.1513672,37048.8980946646
302,87500,852500,5.2979393,5.436611,5.7045307,5.2738023,5.4802527,5.6373553,5.1908,5.4057107,5.6676035,4.6231117,4.757373,4.7978573,4.504293,4.58767,4.755623,4.366676,4.549617,4.6654263,5.3118315,5.4715853,5.610712,5.18238,5.4019136,5.5061235,5.32864,5.456534,5.526621,5.889368,6.1922784,6.2680407,5.789806,6.0616393,6.272245,5.811719,6.1059656,6.4841094,85997543.9873047,37093.9659963399
303,87500,857500,5.48424,5.619787,5.9183416,5.454505,5.680001,5.8752437,5.379606,5.6122923,5.903243,4.802692,4.940871,4.980506,4.6893754,4.767251,4.93923,4.540243,4.724234,4.842133,5.512002,5.7030287,5.8506136,5.38803,5.635225,5.745907,5.5593424,5.7029123,5.7886896,6.070598,6.420044,6.525843,5.99803,6.316332,6.52621,6.0331244,6.394034,6.7728996,86207627.6484375,37139.2466755247
304,87500,862500,5.2858834,5.4032,5.678589,5.238302,5.45945,5.6479645,5.177707,5.389261,5.677594,4.6432366,4.776448,4.81841,4.5452795,4.6150923,4.76455,4.404259,4.5779886,4.684756,5.242129,5.430273,5.6041346,5.1409693,5.3862467,5.4935184,5.326091,5.4541364,5.5407314,5.740531,6.0977783,6.196437,5.689031,6.0154433,6.1895432,5.729315,6.0752497,6.4219146,86419028.2539063,37184.7555511433
305,87500,867500,5.3084335,5.4173493,5.7008514,5.269555,5.4894266,5.673458,5.2116227,5.415826,5.7059617,4.694035,4.8310003,4.8599405,4.599128,4.665109,4.7982635,4.45646,4.6396446,4.7362423,5.235332,5.4242816,5.622163,5.174073,5.4018173,5.5075474,5.3395724,5.468173,5.555894,5.7293935,6.0764375,6.2132926,5.6814566,6.002054,6.168236,5.7060633,6.0610337,6.393999,86631001.9584961,37230.3320613982
306,87500,872500,5.492184,5.58371,5.8946266,5.4492626,5.673791,5.8523664,5.3840575,5.596266,5.8826795,4.820424,4.9614553,4.9875307,4.714504,4.784549,4.9098253,4.5374174,4.734643,4.8456817,5.4666204,5.628174,5.8259273,5.377983,5.608119,5.7265077,5.5328665,5.65539,5.749915,5.9547386,6.3157854,6.474275,5.8976736,6.2159605,6.3760138,5.934196,6.277012,6.6076126,86842335.9257813,37275.7154953835
307,87500,877500,6.2271276,6.3277893,6.707216,6.193533,6.448194,6.6615343,6.1051474,6.359763,6.6758933,5.401903,5.572541,5.63684,5.2666073,5.3502216,5.4791946,5.035022,5.275733,5.375027,6.4279737,6.574852,6.7666564,6.277502,6.5105414,6.634169,6.398281,6.547906,6.689496,7.0323043,7.3756385,7.6654716,6.9352303,7.28819,7.504669,7.0216203,7.4361978,7.8251066,87054677.9814453,37321.2597461773
308,87500,887500,6.59175,6.722743,7.16661,6.5769167,6.8823166,7.1554785,6.459063,6.7110047,7.156812,5.628152,5.7944508,5.8734627,5.4762163,5.5501943,5.684534,5.2416053,5.4896016,5.5395865,7.146833,7.357871,7.5479937,6.9925704,7.244409,7.346772,7.123433,7.277364,7.46045,7.9807525,8.314759,8.5616665,7.8592124,8.227107,8.518076,7.9143395,8.368822,8.832194,87485921.2983398,37413.5844807325
309,92500,12500,6.65749,6.8792815,7.1421523,6.6921663,6.903267,7.0938087,6.6251745,6.883832,7.080803,5.6608014,5.736338,5.786792,5.4940405,5.632928,5.7535124,5.393687,5.5234957,5.5819354,6.7079763,6.9357085,7.117301,6.550428,6.8550463,7.013018,6.395952,6.59544,6.799089,8.145735,8.37908,8.637545,8.136099,8.464277,8.783228,8.307478,8.54851,8.927482,60176284.1147461,31029.3819306345
310,92500,487500,3.9635937,4.18493,4.322828,3.8171856,3.9486706,4.0762277,3.774053,3.9432988,4.1078553,3.4798908,3.5979798,3.6664727,3.187624,3.2821069,3.377194,3.1245906,3.2376869,3.3543732,3.9002705,3.9826674,4.0906777,3.6019244,3.7332969,3.8059,3.5957484,3.7533977,3.804702,4.417573,4.6026707,4.7699165,4.125985,4.3958163,4.486538,4.24319,4.4092817,4.6347055,72777876.9116211,34124.0056764129
311,92500,492500,4.0202656,4.223397,4.4172916,3.8807635,4.001876,4.1750464,3.8296611,4.019534,4.2151494,3.5165558,3.6420155,3.7044418,3.2190952,3.3059974,3.4287057,3.1283002,3.2507813,3.368894,4.0653067,4.1377287,4.2693696,3.7266476,3.8913658,3.957161,3.770991,3.9580483,4.017792,4.6001,4.830792,5.0212297,4.3217516,4.657821,4.7553973,4.4625325,4.6565056,4.9180775,72935167.2905273,34160.86074852
312,92500,497500,3.8690515,4.0807786,4.3000546,3.7435005,3.8860366,4.0604243,3.6773047,3.8762717,4.0875998,3.3928845,3.5279686,3.5942829,3.0914845,3.2005496,3.3173356,3.001667,3.1195736,3.256312,3.9263015,3.98603,4.1423063,3.5746288,3.7601972,3.831943,3.6490874,3.8389993,3.9055152,4.4686975,4.7202907,4.9484625,4.1805487,4.578292,4.6662135,4.3388453,4.563827,4.8490667,73093057.1621094,34197.8163438578
313,92500,502500,3.9641404,4.2012644,4.4188585,3.9490712,4.1234865,4.2911124,3.874944,4.0980887,4.3144817,3.4897964,3.6367555,3.704715,3.2646039,3.4030063,3.518032,3.1924405,3.3079448,3.4711921,3.9671025,4.050859,4.214057,3.7237344,3.9098258,4.017639,3.7941716,4.0076814,4.069724,4.52673,4.8184705,5.055677,4.3489213,4.8107743,4.881695,4.532329,4.7942057,5.1174135,73251549.5078125,34234.872832447
314,92500,507500,3.8726895,4.118089,4.3355155,3.87359,4.0680375,4.224641,3.8066807,4.033009,4.245569,3.4234493,3.5645523,3.6274,3.2080536,3.352658,3.4627068,3.1305103,3.2507644,3.4191895,3.842135,3.931305,4.0916066,3.631047,3.810557,3.9174469,3.6800187,3.8939786,3.9613285,4.3892646,4.683585,4.924139,4.2352147,4.7055407,4.7605677,4.4108286,4.6898804,4.998518,73410647.3198242,34272.0305861569
315,92500,512500,3.6633682,3.89737,4.100567,3.5759678,3.7487454,3.8836112,3.5099304,3.7174702,3.8979137,3.2469559,3.371659,3.4220822,2.968143,3.0833426,3.1986568,2.886794,3.0030205,3.1675818,3.5984528,3.69012,3.8383155,3.3315945,3.481358,3.558202,3.3527718,3.5405006,3.6015763,4.123571,4.384438,4.605037,3.8729408,4.273383,4.3267927,4.017917,4.2662506,4.5168695,73570353.6118164,34309.2899787451
